[2019-11-14 11:50:42.817] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\controller\UserController.class]
[2019-11-14 11:50:42.820] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\controller\UserInfoController.class]
[2019-11-14 11:50:42.821] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\controller\pc\DashBoardController.class]
[2019-11-14 11:50:42.823] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\controller\pc\MemberControlle.class]
[2019-11-14 11:50:42.825] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\CardUseRecordInfoMapper.class]
[2019-11-14 11:50:42.827] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\OrdersMapper.class]
[2019-11-14 11:50:42.829] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\RoleMapper.class]
[2019-11-14 11:50:42.830] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\SSFStudentIdCardMapper.class]
[2019-11-14 11:50:42.831] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\UserCardInfoMapper.class]
[2019-11-14 11:50:42.831] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\UserInfoCheckMapper.class]
[2019-11-14 11:50:42.832] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:443] | Ignored because not a concrete top-level class: file [E:\code\xianwall\target\classes\com\wanding\dao\UserInfoMapper.class]
[2019-11-14 11:50:42.836] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\service\PageService.class]
